School or area,Academic year,Subject,Measure,Value,Unit,Cohort definition,Status,Source URL,Source location,Checked on
Kew Riverside,2024/25,"Reading, writing and maths",Expected standard,73,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,"All pupils / Total; Reading, writing and maths",2026-09-22
Kew Riverside,2024/25,"Reading, writing and maths",Higher standard,13,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,"All pupils / Total; Reading, writing and maths",2026-09-22
Kew Riverside,2024/25,Reading,Expected standard,80,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Reading,2026-09-22
Kew Riverside,2024/25,Reading,Higher standard,47,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Reading,2026-09-22
Kew Riverside,2024/25,Writing,Expected standard,80,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Writing,2026-09-22
Kew Riverside,2024/25,Writing,Higher standard,20,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Writing,2026-09-22
Kew Riverside,2024/25,Maths,Expected standard,73,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Maths,2026-09-22
Kew Riverside,2024/25,Maths,Higher standard,33,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Maths,2026-09-22
Kew Riverside,2023/24,"Reading, writing and maths",Expected standard,67,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,"All pupils / Total; Reading, writing and maths",2026-09-22
Kew Riverside,2023/24,"Reading, writing and maths",Higher standard,7,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,"All pupils / Total; Reading, writing and maths",2026-09-22
Kew Riverside,2023/24,Reading,Expected standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Reading,2026-09-22
Kew Riverside,2023/24,Reading,Higher standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Reading,2026-09-22
Kew Riverside,2023/24,Writing,Expected standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Writing,2026-09-22
Kew Riverside,2023/24,Writing,Higher standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Writing,2026-09-22
Kew Riverside,2023/24,Maths,Expected standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Maths,2026-09-22
Kew Riverside,2023/24,Maths,Higher standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Maths,2026-09-22
Kew Riverside,2022/23,"Reading, writing and maths",Expected standard,75,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,"All pupils / Total; Reading, writing and maths",2026-09-22
Kew Riverside,2022/23,"Reading, writing and maths",Higher standard,17,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,"All pupils / Total; Reading, writing and maths",2026-09-22
Kew Riverside,2022/23,Reading,Expected standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Reading,2026-09-22
Kew Riverside,2022/23,Reading,Higher standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Reading,2026-09-22
Kew Riverside,2022/23,Writing,Expected standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Writing,2026-09-22
Kew Riverside,2022/23,Writing,Higher standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Writing,2026-09-22
Kew Riverside,2022/23,Maths,Expected standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Maths,2026-09-22
Kew Riverside,2022/23,Maths,Higher standard,Not available,percent,All pupils; whole school cohort,Final,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/f6cb50e9-0eca-4b1e-ac1a-6f6bb9d21a07,All pupils / Total; Maths,2026-09-22
